Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or 3d Party,Critical Risk
6/17/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Projection
6/18/2017 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,remains of choco
6/24/2017 0:00,Country_01,Local_01,Mining,II,III,Male,Employee,Others
6/20/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
6/20/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
6/24/2017 0:00,Country_01,Local_03,Mining,I,II,Female,Third Party,Cut
6/23/2017 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
6/19/2017 0:00,Country_03,Local_10,Others,III,IV,Male,Third Party,Others
6/22/2017 0:00,Country_03,Local_10,Others,I,IV,Male,Employee,Others
6/22/2017 0:00,Country_03,Local_10,Others,I,I,Male,Employee,Venomous Animals
6/29/2017 0:00,Country_02,Local_02,Mining,I,III,Male,Employee,Pressed
7/4/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
7/4/2017 0:00,Country_01,Local_03,Mining,I,II,Female,Employee,Others
7/5/2017 0:00,Country_02,Local_09,Metals,I,II,Male,Employee,Venomous Animals
7/6/2017 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut
7/9/2017 0:00,Country_01,Local_04,Mining,I,II,Female,Third Party,Fall prevention (same level)
